date,lat (deg),lon (deg),speed (kn),heading (deg),hdg_true,bank (deg),pitch angle (deg)
2023-04-16T20:31:00.435Z,37.9090133,-122.3825083,2.800,235.4,184.4,30.5,2.9
2023-04-16T20:31:01.136Z,37.9089950,-122.3824616,1.500,203.3,192.1,29.4,4.0
2023-04-16T20:31:01.641Z,37.9089866,-122.3824566,1.900,203.3,197.9,31.5,4.5
2023-04-16T20:31:01.143Z,37.9089800,-122.3824433,2.000,217.7,202.0,36.5,1.6
2023-04-16T20:31:01.641Z,37.9089750,-122.3824516,1.800,220.9,206.2,33.5,2.6
2023-04-16T20:31:03.141Z,37.9089700,-122.3824500,0.700,201.8,211.6,32.7,6.8
2023-04-16T20:31:03.638Z,37.9089600,-122.3824416,0.500,240.5,215.6,42.6,5.9
2023-04-16T20:31:04.142Z,37.9089633,-122.3824483,0.700,237.2,216.6,36.9,5.3
2023-04-16T20:31:04.642Z,37.9089616,-122.3824483,0.700,187.5,216.4,36.6,5.5
2023-04-16T20:31:05.145Z,37.9089616,-122.3824566,0.400,246.8,220.1,29.8,5.6
2023-04-16T20:31:05.642Z,37.9089616,-122.3824633,0.600,224.2,221.6,22.5,5.7
2023-04-16T20:31:06.138Z,37.9089616,-122.3824716,0.700,241.7,222.1,22.3,3.9
2023-04-16T20:31:06.639Z,37.9089633,-122.3824800,0.600,258.6,225.0,21.1,8.9
2023-04-16T20:31:07.141Z,37.9089650,-122.3824866,0.800,249.8,222.6,18.4,4.9
2023-04-16T20:31:07.639Z,37.9089650,-122.3824933,1.200,258.5,226.0,0.4,4.2
2023-04-16T20:31:08.146Z,37.9089633,-122.3825000,1.900,251.8,225.6,-4.7,10.2
2023-04-16T20:31:08.642Z,37.9089633,-122.3825066,2.100,246.8,223.7,-3.0,5.2
2023-04-16T20:31:09.144Z,37.9089600,-122.3825116,2.200,245.8,223.8,-0.9,4.1
2023-04-16T20:31:09.641Z,37.9089583,-122.3825166,2.200,243.5,224.0,-2.8,7.5
2023-04-16T20:31:10.144Z,37.9089550,-122.3825200,2.000,228.9,225.6,-5.3,6.4
2023-04-16T20:31:10.643Z,37.9089516,-122.3825250,2.100,235.9,225.0,-1.0,4.7
2023-04-16T20:31:11.146Z,37.9089483,-122.3825316,2.500,234.0,223.5,7.0,5.5
2023-04-16T20:31:11.642Z,37.9089433,-122.3825383,2.600,243.6,223.5,10.2,2.7
2023-04-16T20:31:12.143Z,37.9089400,-122.3825500,2.800,247.4,223.0,18.2,6.5
2023-04-16T20:31:12.644Z,37.9089366,-122.3825600,3.400,250.4,223.9,19.0,7.8
2023-04-16T20:31:13.144Z,37.9089333,-122.3825716,3.800,252.2,220.2,17.5,2.1
2023-04-16T20:31:13.644Z,37.9089300,-122.3825816,4.000,255.9,222.8,19.5,4.9
2023-04-16T20:31:14.148Z,37.9089266,-122.3825916,4.200,258.6,221.8,17.5,6.2
2023-04-16T20:31:14.647Z,37.9089233,-122.3826066,4.200,239.1,219.9,15.6,4.6
2023-04-16T20:31:15.146Z,37.9089200,-122.3826200,4.100,226.9,218.8,16.4,4.2
2023-04-16T20:31:15.647Z,37.9089116,-122.3826300,4.200,221.4,217.9,16.0,4.1
2023-04-16T20:31:16.146Z,37.9089050,-122.3826400,4.300,227.2,216.6,15.8,4.3
2023-04-16T20:31:16.645Z,37.9088983,-122.3826500,4.300,222.0,215.7,12.9,4.1
2023-04-16T20:31:17.151Z,37.9088916,-122.3826600,4.300,219.9,218.9,10.1,5.6
2023-04-16T20:31:17.646Z,37.9088850,-122.3826700,4.300,226.7,219.2,6.7,4.2
2023-04-16T20:31:18.146Z,37.9088800,-122.3826800,4.300,237.8,220.9,5.3,2.4
2023-04-16T20:31:18.645Z,37.9088733,-122.3826900,4.200,238.5,217.5,9.3,4.4
2023-04-16T20:31:19.145Z,37.9088666,-122.3826983,4.000,226.5,217.4,8.5,4.7
2023-04-16T20:31:19.645Z,37.9088600,-122.3827050,3.900,214.1,219.3,1.9,0.5
2023-04-16T20:31:20.149Z,37.9088533,-122.3827133,3.700,225.6,221.3,3.0,6.0
2023-04-16T20:31:20.635Z,37.9088483,-122.3827216,3.700,230.6,221.5,1.9,1.6
2023-04-16T20:31:21.146Z,37.9088433,-122.3827300,3.500,226.0,220.1,8.7,2.4
2023-04-16T20:31:21.646Z,37.9088383,-122.3827383,3.500,241.6,219.3,12.2,1.9
2023-04-16T20:31:22.146Z,37.9088333,-122.3827450,3.400,230.5,219.3,15.3,3.8
2023-04-16T20:31:22.646Z,37.9088283,-122.3827533,3.200,228.0,217.7,21.7,3.7
2023-04-16T20:31:23.148Z,37.9088233,-122.3827583,3.200,231.0,213.8,24.2,3.8
2023-04-16T20:31:23.645Z,37.9088183,-122.3827650,3.100,225.8,212.0,23.9,3.7
2023-04-16T20:31:24.146Z,37.9088133,-122.3827683,2.900,216.0,210.1,21.0,1.8
2023-04-16T20:31:24.635Z,37.9088066,-122.3827733,2.800,206.3,209.7,17.0,5.0
2023-04-16T20:31:25.146Z,37.9088000,-122.3827766,3.000,198.3,207.5,12.9,7.0
2023-04-16T20:31:25.646Z,37.9087933,-122.3827800,3.200,201.5,206.2,5.5,5.7
2023-04-16T20:31:26.149Z,37.9087866,-122.3827850,3.300,199.8,200.5,-4.8,1.3
2023-04-16T20:31:26.646Z,37.9087800,-122.3827866,3.400,190.0,198.6,-20.4,-1.3
2023-04-16T20:31:27.146Z,37.9087716,-122.3827866,3.200,183.1,194.2,-23.3,-0.7
2023-04-16T20:31:27.646Z,37.9087650,-122.3827866,3.100,183.1,192.0,-32.5,-1.3
2023-04-16T20:31:28.146Z,37.9087600,-122.3827900,3.000,200.1,186.0,-22.8,4.3
2023-04-16T20:31:28.637Z,37.9087583,-122.3827916,1.800,220.1,185.0,-24.0,5.4
2023-04-16T20:31:29.148Z,37.9087566,-122.3827950,1.600,232.3,181.7,-23.8,2.8
2023-04-16T20:31:29.646Z,37.9087550,-122.3828000,1.300,242.1,178.7,-26.8,5.0
2023-04-16T20:31:30.146Z,37.9087533,-122.3828016,1.100,252.3,179.4,-30.8,3.1
2023-04-16T20:31:30.644Z,37.9087533,-122.3828050,1.000,256.4,174.6,-24.0,3.8
2023-04-16T20:31:31.151Z,37.9087516,-122.3828066,0.600,219.7,173.9,-25.1,3.1
2023-04-16T20:31:31.647Z,37.9087516,-122.3828083,0.700,226.3,171.3,-28.7,4.6
2023-04-16T20:31:32.153Z,37.9087500,-122.3828100,0.800,273.3,171.1,-26.2,6.8
2023-04-16T20:31:32.648Z,37.9087500,-122.3828133,0.700,243.6,171.2,-17.3,2.9
2023-04-16T20:31:33.148Z,37.9087500,-122.3828150,0.900,245.4,174.2,-9.2,10.3
2023-04-16T20:31:33.648Z,37.9087500,-122.3828183,1.100,286.2,172.1,-10.6,5.8
2023-04-16T20:31:34.149Z,37.9087500,-122.3828200,0.800,274.5,168.3,-7.0,4.0
2023-04-16T20:31:34.649Z,37.9087500,-122.3828216,0.400,257.2,170.9,-11.0,7.4
2023-04-16T20:31:35.151Z,37.9087500,-122.3828200,0.500,102.6,166.0,-8.7,5.0
2023-04-16T20:31:35.649Z,37.9087483,-122.3828183,0.800,144.9,164.3,-10.4,4.9
2023-04-16T20:31:36.148Z,37.9087483,-122.3828166,0.900,100.9,161.7,-19.3,3.2
2023-04-16T20:31:36.647Z,37.9087483,-122.3828133,0.900,66.8,164.6,-25.2,6.6
2023-04-16T20:31:37.148Z,37.9087483,-122.3828100,1.100,85.7,166.8,-19.4,3.1
2023-04-16T20:31:37.648Z,37.9087466,-122.3828083,1.200,151.4,167.1,-14.5,4.0
2023-04-16T20:31:38.152Z,37.9087450,-122.3828066,0.700,155.0,163.4,-3.7,3.6
2023-04-16T20:31:38.649Z,37.9087433,-122.3828050,0.500,162.5,170.5,-8.7,6.7
2023-04-16T20:31:39.149Z,37.9087416,-122.3828033,0.700,131.3,170.0,-9.4,4.3
2023-04-16T20:31:39.649Z,37.9087383,-122.3828000,1.200,160.3,172.5,-10.3,4.3
2023-04-16T20:31:40.155Z,37.9087350,-122.3827983,1.900,144.4,169.9,-3.8,4.1
2023-04-16T20:31:40.656Z,37.9087300,-122.3827950,2.000,147.9,172.7,-7.6,6.3
2023-04-16T20:31:41.158Z,37.9087266,-122.3827900,2.300,148.0,173.3,-9.6,4.0
2023-04-16T20:31:41.656Z,37.9087216,-122.3827850,2.300,139.6,172.6,-11.3,8.1
2023-04-16T20:31:42.157Z,37.9087183,-122.3827800,2.300,144.7,172.8,-9.0,3.9
2023-04-16T20:31:42.657Z,37.9087133,-122.3827750,2.300,142.9,173.0,-7.5,3.8
2023-04-16T20:31:43.155Z,37.9087083,-122.3827700,2.700,142.9,173.9,-6.4,3.8
2023-04-16T20:31:43.656Z,37.9087033,-122.3827633,2.800,145.1,171.8,-3.3,4.4
2023-04-16T20:31:44.160Z,37.9086983,-122.3827583,3.000,141.7,172.7,-5.6,5.1
2023-04-16T20:31:44.656Z,37.9086916,-122.3827516,3.000,141.5,173.8,-4.5,2.4
2023-04-16T20:31:45.156Z,37.9086866,-122.3827450,3.100,144.3,173.6,-0.7,5.1
2023-04-16T20:31:45.656Z,37.9086800,-122.3827383,3.200,140.6,166.9,7.0,0.2
2023-04-16T20:31:46.156Z,37.9086733,-122.3827300,3.400,139.1,171.1,-0.3,3.6
2023-04-16T20:31:46.656Z,37.9086666,-122.3827216,3.500,137.7,175.0,-4.8,3.1
2023-04-16T20:31:47.148Z,37.9086616,-122.3827133,3.400,136.1,175.3,-4.0,3.2
2023-04-16T20:31:47.658Z,37.9086566,-122.3827083,3.500,140.6,174.7,-3.6,2.8
2023-04-16T20:31:48.158Z,37.9086516,-122.3827016,3.600,137.4,174.8,-1.5,3.4
2023-04-16T20:31:48.658Z,37.9086466,-122.3826966,3.600,145.7,174.2,1.4,3.5
2023-04-16T20:31:49.158Z,37.9086400,-122.3826900,3.600,140.8,174.7,1.5,2.4
2023-04-16T20:31:49.658Z,37.9086333,-122.3826833,3.600,144.0,175.4,-1.0,3.1
2023-04-16T20:31:50.150Z,37.9086266,-122.3826783,3.600,148.9,177.7,-1.5,4.1
2023-04-16T20:31:50.659Z,37.9086216,-122.3826716,3.800,145.5,174.3,1.3,3.0
2023-04-16T20:31:51.158Z,37.9086150,-122.3826666,3.900,145.3,175.2,-3.1,2.9
2023-04-16T20:31:51.658Z,37.9086100,-122.3826600,3.700,143.3,177.2,-3.9,2.4
2023-04-16T20:31:52.162Z,37.9086033,-122.3826550,3.500,143.4,177.1,-2.3,2.3
2023-04-16T20:31:52.662Z,37.9085966,-122.3826483,3.700,144.1,176.0,0.3,2.7
2023-04-16T20:31:53.153Z,37.9085916,-122.3826416,3.700,146.3,175.1,1.9,2.2
2023-04-16T20:31:53.661Z,37.9085850,-122.3826383,3.400,155.5,174.7,0.7,3.2
2023-04-16T20:31:54.161Z,37.9085783,-122.3826300,3.300,143.6,175.3,0.1,3.6
2023-04-16T20:31:54.661Z,37.9085733,-122.3826233,3.300,142.2,176.7,-1.5,2.3
2023-04-16T20:31:55.161Z,37.9085700,-122.3826200,3.300,142.4,177.1,0.5,2.7
2023-04-16T20:31:55.662Z,37.9085633,-122.3826150,3.300,151.9,173.9,1.8,2.5
2023-04-16T20:31:56.164Z,37.9085583,-122.3826083,3.300,144.9,174.4,-0.6,2.7
